SkuPartNumber,FriendlyName,ShortName,Category,SecurityCategory,SecurityRelevant,Notes,SourceURL
SHAREPOINTSTORAGE,SharePoint Online Storage,SharePoint Storage,Collaboration,📦 General / Other,False,Additional SharePoint storage entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PHONESYSTEM_VIRTUALUSER,Microsoft Teams Phone Resource Account,Teams Phone Resource Account,Voice,📦 General / Other,False,Teams Phone resource account / virtual user,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
CCIBOTS_PRIVPREV_VIRAL,Microsoft Copilot Studio Trial,Copilot Studio Trial,AI / Copilot,📦 General / Other,False,Copilot / bot tooling preview or trial entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PRIVACY_MANAGEMENT_SUB_RIGHTS_REQ_10_V2,Microsoft Priva Subject Rights Requests,Priva Subject Rights Requests,Privacy / Compliance,🛡 Security / Identity,True,Microsoft Priva Subject Rights Requests,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MICROSOFT_365_COPILOT_DEPT,Microsoft 365 Copilot Department,M365 Copilot Department,AI / Copilot,🔐 Security-capable suite,True,Microsoft 365 Copilot department entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Teams_Premium,Microsoft Teams Premium,Teams Premium,Collaboration,📦 General / Other,False,Microsoft Teams Premium,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MICROSOFT_AGENT_FRONTIER_NO_TEAMS,Microsoft Agent Frontier,Microsoft Agent Frontier,AI / Copilot,📦 General / Other,False,Microsoft agent-related entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Windows_365_S_2vCPU_4GB_64GB,Windows 365 2 vCPU / 4 GB / 64 GB,Windows 365 2C/4/64,Cloud PC,📦 General / Other,False,Windows 365 Cloud PC,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
MCOPSTNC,Microsoft Teams Calling Plan,Teams Calling Plan,Voice,📦 General / Other,False,Teams calling entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Power_Automate_per_process,Power Automate Process,Power Automate Process,Automation,📦 General / Other,False,Power Automate per-process entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Teams_Enterprise_New,Microsoft Teams Enterprise,Microsoft Teams Enterprise,Collaboration,📦 General / Other,False,Microsoft Teams Enterprise entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Power_Pages_vTrial_for_Makers,Power Pages Trial for Makers,Power Pages Trial,Low Code,📦 General / Other,False,Power Pages trial for makers,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
VIVA_LEARNING,Microsoft Viva Learning,Viva Learning,Employee Experience,📦 General / Other,False,Microsoft Viva Learning,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
M365_F1_COMM,Microsoft 365 F1 Communications,M365 F1 Communications,Frontline Suite,🔐 Security-capable suite,True,Microsoft 365 F1 communications entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
RMSBASIC,Azure Rights Management Basic,Rights Management Basic,Information Protection,🛡 Security / Identity,True,Azure Rights Management basic entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWERAUTOMATE_ATTENDED_RPA,Power Automate Attended RPA,Power Automate RPA,Automation,📦 General / Other,False,Power Automate attended RPA,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Advanced_Data_Residency,Microsoft 365 Advanced Data Residency,Advanced Data Residency,Data Residency,📦 General / Other,False,Microsoft 365 Advanced Data Residency,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Remote_Help_AddOn,Microsoft Intune Remote Help,Intune Remote Help,Endpoint Management,🛡 Security / Identity,True,Microsoft Intune Remote Help add-on,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Teams_Premium_(for_Departments),Microsoft Teams Premium for Departments,Teams Premium Department,Collaboration,📦 General / Other,False,Teams Premium department entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
PROJECT_MADEIRA_PREVIEW_IW_SKU,Dynamics 365 Business Central Preview,Dynamics 365 Business Central Preview,Dynamics 365,📦 General / Other,False,Legacy / preview Dynamics 365 Business Central entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Microsoft_Teams_Rooms_Pro,Microsoft Teams Rooms Pro,Teams Rooms Pro,Collaboration,📦 General / Other,False,Microsoft Teams Rooms Pro,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
RIGHTSMANAGEMENT_ADHOC,Rights Management Ad Hoc,Rights Management Ad Hoc,Information Protection,🛡 Security / Identity,True,Rights Management ad-hoc entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
Office_365_E1_(no_Teams),Office 365 E1 (no Teams),O365 E1,Office 365 Suite,🔐 Security-capable suite,True,Office 365 E1 without Teams,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
POWERAPPS_DEV,Power Apps Developer,Power Apps Developer,Low Code,📦 General / Other,False,Power Apps Developer entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
VIVA,Microsoft Viva,Microsoft Viva,Employee Experience,📦 General / Other,False,Microsoft Viva entitlement,https://learn.microsoft.com/en-us/entra/identity/users/licensing-service-plan-reference
