Continent,CountryOrRegion,RegionCode,RegionDisplayName,SIEMSupported,DataLakeSupported,DataLakeBCDRSupported,SourceURL,BCDRSourceURL,LastVerified
Europe,France,francesouth,France South,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Germany,germanywestcentral,Germany West Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Italy,italynorth,Italy North,true,true,true,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Norway,norwayeast,Norway East,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Norway,norwaywest,Norway West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Sweden,swedencentral,Sweden Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Switzerland,switzerlandnorth,Switzerland North,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,Switzerland,switzerlandwest,Switzerland West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,United Kingdom,uksouth,UK South,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Europe,United Kingdom,ukwest,UK West,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Australia,Australia,australiacentral,Australia Central,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Australia,Australia,australiacentral2,Australia Central 2,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Australia,Australia,australiaeast,Australia East,true,true,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Australia,Australia,australiasoutheast,Australia Southeast,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
Africa,South Africa,southafricanorth,South Africa North,true,false,false,https://learn.microsoft.com/en-us/azure/sentinel/geographical-availability-data-residency,https://learn.microsoft.com/en-us/azure/sentinel/business-continuity-disaster-recovery,2026-08-13
